n_components,explained_var,cumulative_var,marginal_gain
236,0.000736,0.257065,0.000736
237,0.000736,0.257800,0.000736
238,0.000736,0.258536,0.000736
239,0.000736,0.259271,0.000736
240,0.000736,0.260007,0.000736
241,0.000736,0.260743,0.000736
242,0.000736,0.261478,0.000736
243,0.000736,0.262214,0.000736
244,0.000736,0.262949,0.000736
245,0.000736,0.263685,0.000736
246,0.000736,0.264420,0.000736
247,0.000736,0.265156,0.000736
248,0.000736,0.265891,0.000736
249,0.000736,0.266627,0.000736
250,0.000736,0.267362,0.000736
251,0.000736,0.268098,0.000736
252,0.000736,0.268833,0.000736
253,0.000736,0.269569,0.000736
254,0.000736,0.270305,0.000736
255,0.000736,0.271040,0.000736
256,0.000736,0.271776,0.000736
257,0.000736,0.272511,0.000736
258,0.000736,0.273247,0.000736
259,0.000736,0.273982,0.000736
260,0.000736,0.274718,0.000736
261,0.000736,0.275453,0.000736
262,0.000736,0.276189,0.000736
263,0.000736,0.276924,0.000736
264,0.000736,0.277660,0.000736
265,0.000736,0.278395,0.000736
266,0.000736,0.279131,0.000736
267,0.000736,0.279867,0.000736
268,0.000736,0.280602,0.000736
269,0.000736,0.281338,0.000736
270,0.000736,0.282073,0.000736
271,0.000736,0.282809,0.000736
272,0.000736,0.283544,0.000736
273,0.000736,0.284280,0.000736
274,0.000736,0.285015,0.000736
275,0.000736,0.285751,0.000736
276,0.000736,0.286486,0.000736
277,0.000736,0.287222,0.000736
278,0.000736,0.287957,0.000736
279,0.000736,0.288693,0.000736
280,0.000736,0.289429,0.000736
281,0.000736,0.290164,0.000736
282,0.000736,0.290900,0.000736
283,0.000736,0.291635,0.000736
284,0.000736,0.292371,0.000736
285,0.000736,0.293106,0.000736
286,0.000736,0.293842,0.000736
287,0.000736,0.294577,0.000736
288,0.000736,0.295313,0.000736
289,0.000736,0.296048,0.000736
290,0.000736,0.296784,0.000736
291,0.000736,0.297519,0.000736
292,0.000736,0.298255,0.000736
293,0.000736,0.298991,0.000736
294,0.000736,0.299726,0.000736
295,0.000736,0.300462,0.000736
296,0.000736,0.301197,0.000736
297,0.000736,0.301933,0.000736
298,0.000736,0.302668,0.000736
299,0.000736,0.303404,0.000736
300,0.000736,0.304139,0.000736
301,0.000736,0.304875,0.000736
302,0.000736,0.305610,0.000736
303,0.000736,0.306346,0.000736
304,0.000736,0.307081,0.000736
305,0.000736,0.307817,0.000736
306,0.000736,0.308553,0.000736
