image_id,exact_match,relation_match,colour_overlap,size_overlap,object_overlap,total_attribute_overlap,gold_parse_ok,pred_parse_ok,semantic_match
3037,0,0,2,1,2,5,1,1,1
3121,0,1,2,2,2,6,1,1,1
880,0,0,2,2,2,6,1,1,1
2240,1,1,2,2,2,6,1,1,1
3691,0,0,2,0,2,4,1,0,0
6951,0,0,2,1,2,5,1,1,0
4733,0,0,2,2,2,6,1,1,1
6318,0,0,2,1,2,5,1,1,0
7579,0,0,2,1,1,4,1,1,0
2903,0,1,2,0,2,4,1,1,0
5865,0,0,2,2,2,6,1,1,1
4845,0,1,2,2,2,6,1,1,1
6244,0,0,2,2,2,6,1,1,1
5287,0,1,2,1,2,5,1,1,1
1725,0,0,2,0,2,4,1,1,0
7374,0,0,2,1,2,5,1,1,1
1825,0,0,2,1,1,4,1,1,0
5953,1,1,2,2,2,6,1,1,1
8236,1,1,2,2,2,6,1,1,1
4957,0,1,2,0,2,4,1,1,0
2785,1,1,2,1,2,5,1,1,1
7023,0,1,2,2,2,6,1,1,1
4745,0,1,2,2,2,6,1,1,1
9644,0,1,2,2,2,6,1,1,1
5513,0,0,2,1,2,5,1,1,0
1958,0,0,1,1,2,4,1,1,0
2298,0,1,2,1,1,4,1,1,1
6438,0,0,1,1,2,4,1,1,0
8119,0,0,2,1,2,5,1,1,0
6827,0,1,2,1,2,5,1,1,1
7822,0,0,2,1,2,5,1,1,0
5203,0,0,2,1,2,5,1,1,0
1773,0,1,1,2,2,5,1,1,1
718,0,1,1,1,2,4,1,1,0
1794,0,0,2,1,2,5,1,1,0
2789,0,0,2,0,2,4,1,1,0
6586,0,1,2,0,2,4,1,1,0
1027,0,0,2,1,2,5,1,1,0
3211,0,0,2,0,2,4,1,1,0
8231,0,0,2,1,2,5,1,1,1
4720,0,0,2,1,2,5,1,1,0
8557,0,0,2,1,2,5,1,1,0
5491,0,0,1,1,2,4,1,1,0
2706,0,1,2,0,2,4,1,0,0
4983,0,1,2,0,2,4,1,1,0
200,0,0,2,0,2,4,1,1,0
6310,0,0,2,0,2,4,1,1,0
1382,0,1,2,1,2,5,1,1,0
1123,0,0,2,1,1,4,1,1,1
1753,0,0,1,1,2,4,1,1,0
4188,0,0,2,2,1,5,1,1,1
5049,0,1,1,1,2,4,1,1,0
2656,0,1,2,1,2,5,1,1,1
5207,0,1,1,1,2,4,1,1,0
3514,0,0,2,2,2,6,1,1,1
5973,0,1,2,1,1,4,1,1,1
4913,0,1,2,1,1,4,1,1,0
2257,0,0,2,1,2,5,1,1,0
8389,1,1,2,2,2,6,1,1,1
2937,0,1,2,1,2,5,1,1,1
9728,1,1,2,2,2,6,1,1,1
26,0,1,2,2,2,6,1,1,1
4216,0,1,2,2,1,5,1,1,1
9353,0,0,2,2,2,6,1,1,1
8626,0,0,1,1,2,4,1,1,1
6246,0,0,1,2,2,5,1,1,1
8809,1,1,1,2,2,5,1,1,1
9282,0,0,2,2,1,5,1,1,1
2959,0,0,2,1,2,5,1,1,1
2739,0,1,2,1,2,5,1,1,0
6006,0,1,2,1,2,5,1,1,0
380,0,0,1,2,2,5,1,1,1
5692,0,0,2,2,2,6,1,1,1
8508,0,0,2,1,1,4,1,1,0
7686,0,0,2,1,2,5,1,1,0
2753,0,1,2,2,2,6,1,1,1
3806,0,0,2,0,2,4,1,1,0
7395,0,1,2,0,2,4,1,1,0
5145,0,1,2,1,2,5,1,1,0
5604,0,0,2,2,2,6,1,1,1
6087,0,1,2,0,1,3,1,1,0
9003,0,0,1,1,2,4,1,1,0
5972,0,0,2,1,2,5,1,1,0
7525,0,0,2,1,2,5,1,1,0
3795,0,0,2,2,2,6,1,1,1
8399,0,0,1,1,2,4,1,1,0
8649,0,1,2,1,2,5,1,1,0
4903,1,1,2,2,1,5,1,1,1
5993,0,1,2,2,2,6,1,1,1
4203,0,1,2,1,2,5,1,1,0
5130,0,0,2,1,2,5,1,1,0
8832,0,1,2,2,1,5,1,1,1
3154,0,1,2,0,2,4,1,1,0
4322,0,1,1,1,2,4,1,1,0
102,0,0,2,0,2,4,1,1,0
3490,0,1,1,1,2,4,1,1,0
2809,0,1,2,2,2,6,1,1,1
9290,0,0,2,2,2,6,1,1,1
9224,0,1,2,2,2,6,1,1,1
8663,0,0,2,1,1,4,1,1,0
557,0,1,2,1,1,4,1,1,0
8847,0,0,2,0,2,4,1,1,0
8591,0,0,2,2,2,6,1,1,1
1817,0,0,2,1,2,5,1,1,0
854,0,1,1,0,2,3,1,1,0
1453,0,0,2,1,2,5,1,1,0
1055,0,0,2,0,2,4,1,1,0
9238,0,0,2,2,2,6,1,1,1
7551,0,1,2,0,1,3,1,1,0
368,0,1,2,1,2,5,1,1,0
7845,0,0,2,2,2,6,1,1,1
9160,0,1,2,0,1,3,1,1,0
7705,0,1,2,1,2,5,1,0,0
2193,0,0,2,0,2,4,1,1,0
491,0,1,2,1,2,5,1,1,0
1138,0,1,1,1,2,4,1,1,0
3376,0,1,2,1,2,5,1,1,0
9843,0,0,2,2,2,6,1,1,1
2745,0,0,2,2,2,6,1,1,1
684,0,1,1,2,2,5,1,1,1
5324,0,1,2,2,2,6,1,1,1
2000,0,1,2,1,2,5,1,1,0
8244,0,1,2,1,2,5,1,1,0
7615,0,1,1,0,2,3,1,1,0
4550,1,1,2,1,2,5,1,1,1
4663,0,0,2,1,1,4,1,1,0
676,0,0,2,1,1,4,1,1,0
3922,0,1,1,1,2,4,1,1,1
